Countries Code,Countries,Age (86 categories) Code,Age (86 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Household size (7 categories) Code,Household size (7 categories),Observation
E92000001,England,0,Aged under 1 year,-8,Does not apply,0,0 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,1,1 person in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,2,2 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,3,3 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,4,4 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,5,5 people in household,0
E92000001,England,0,Aged under 1 year,-8,Does not apply,6,6 or more people in household,0
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",1,1 person in household,93
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",2,2 people in household,1193
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",3,3 people in household,16062
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",4,4 people in household,19075
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",5,5 people in household,12166
E92000001,England,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,21765
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,63
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,2528
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,7470
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,7458
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,5033
E92000001,England,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,5975
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,1,1 person in household,62
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,2,2 people in household,4252
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,3,3 people in household,18978
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,4,4 people in household,14433
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,5,5 people in household,5908
E92000001,England,0,Aged under 1 year,3,Mixed or Multiple ethnic groups,6,6 or more people in household,4321
E92000001,England,0,Aged under 1 year,4,White,0,0 people in household,0
E92000001,England,0,Aged under 1 year,4,White,1,1 person in household,1009
E92000001,England,0,Aged under 1 year,4,White,2,2 people in household,22242
E92000001,England,0,Aged under 1 year,4,White,3,3 people in household,165623
E92000001,England,0,Aged under 1 year,4,White,4,4 people in household,138837
E92000001,England,0,Aged under 1 year,4,White,5,5 people in household,53722
E92000001,England,0,Aged under 1 year,4,White,6,6 or more people in household,35692
E92000001,England,0,Aged under 1 year,5,Other ethnic group,0,0 people in household,0
E92000001,England,0,Aged under 1 year,5,Other ethnic group,1,1 person in household,19
