Lower tier local authorities Code,Lower tier local authorities,Age (23 categories) Code,Age (23 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Household size (7 categories) Code,Household size (7 categories),Observation
E06000014,York,1,Aged 2 years and under,-8,Does not apply,0,0 people in household,0
E06000014,York,1,Aged 2 years and under,-8,Does not apply,1,1 person in household,0
E06000014,York,1,Aged 2 years and under,-8,Does not apply,2,2 people in household,0
E06000014,York,1,Aged 2 years and under,-8,Does not apply,3,3 people in household,0
E06000014,York,1,Aged 2 years and under,-8,Does not apply,4,4 people in household,0
E06000014,York,1,Aged 2 years and under,-8,Does not apply,5,5 people in household,0
E06000014,York,1,Aged 2 years and under,-8,Does not apply,6,6 or more people in household,0
E06000014,York,1,Aged 2 years and under,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E06000014,York,1,Aged 2 years and under,1,"Asian, Asian British or Asian Welsh",1,1 person in household,0
E06000014,York,1,Aged 2 years and under,1,"Asian, Asian British or Asian Welsh",2,2 people in household,0
E06000014,York,1,Aged 2 years and under,1,"Asian, Asian British or Asian Welsh",3,3 people in household,64
E06000014,York,1,Aged 2 years and under,1,"Asian, Asian British or Asian Welsh",4,4 people in household,56
E06000014,York,1,Aged 2 years and under,1,"Asian, Asian British or Asian Welsh",5,5 people in household,22
E06000014,York,1,Aged 2 years and under,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,13
E06000014,York,1,Aged 2 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E06000014,York,1,Aged 2 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,0
E06000014,York,1,Aged 2 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,1
E06000014,York,1,Aged 2 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,6
E06000014,York,1,Aged 2 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,9
E06000014,York,1,Aged 2 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,13
E06000014,York,1,Aged 2 years and under,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,1
E06000014,York,1,Aged 2 years and under,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E06000014,York,1,Aged 2 years and under,3,Mixed or Multiple ethnic groups,1,1 person in household,0
E06000014,York,1,Aged 2 years and under,3,Mixed or Multiple ethnic groups,2,2 people in household,22
E06000014,York,1,Aged 2 years and under,3,Mixed or Multiple ethnic groups,3,3 people in household,121
E06000014,York,1,Aged 2 years and under,3,Mixed or Multiple ethnic groups,4,4 people in household,72
E06000014,York,1,Aged 2 years and under,3,Mixed or Multiple ethnic groups,5,5 people in household,39
E06000014,York,1,Aged 2 years and under,3,Mixed or Multiple ethnic groups,6,6 or more people in household,12
E06000014,York,1,Aged 2 years and under,4,White,0,0 people in household,0
E06000014,York,1,Aged 2 years and under,4,White,1,1 person in household,19
E06000014,York,1,Aged 2 years and under,4,White,2,2 people in household,359
E06000014,York,1,Aged 2 years and under,4,White,3,3 people in household,1738
E06000014,York,1,Aged 2 years and under,4,White,4,4 people in household,1664
E06000014,York,1,Aged 2 years and under,4,White,5,5 people in household,561
E06000014,York,1,Aged 2 years and under,4,White,6,6 or more people in household,228
E06000014,York,1,Aged 2 years and under,5,Other ethnic group,0,0 people in household,0
E06000014,York,1,Aged 2 years and under,5,Other ethnic group,1,1 person in household,0
E06000014,York,1,Aged 2 years and under,5,Other ethnic group,2,2 people in household,3
E06000014,York,1,Aged 2 years and under,5,Other ethnic group,3,3 people in household,18
E06000014,York,1,Aged 2 years and under,5,Other ethnic group,4,4 people in household,22
E06000014,York,1,Aged 2 years and under,5,Other ethnic group,5,5 people in household,15
E06000014,York,1,Aged 2 years and under,5,Other ethnic group,6,6 or more people in household,6
E06000014,York,2,Aged 3 to 4 years,-8,Does not apply,0,0 people in household,0
E06000014,York,2,Aged 3 to 4 years,-8,Does not apply,1,1 person in household,0
E06000014,York,2,Aged 3 to 4 years,-8,Does not apply,2,2 people in household,0
E06000014,York,2,Aged 3 to 4 years,-8,Does not apply,3,3 people in household,0
E06000014,York,2,Aged 3 to 4 years,-8,Does not apply,4,4 people in household,0
E06000014,York,2,Aged 3 to 4 years,-8,Does not apply,5,5 people in household,0
E06000014,York,2,Aged 3 to 4 years,-8,Does not apply,6,6 or more people in household,0
E06000014,York,2,Aged 3 to 4 years,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E06000014,York,2,Aged 3 to 4 years,1,"Asian, Asian British or Asian Welsh",1,1 person in household,0
E06000014,York,2,Aged 3 to 4 years,1,"Asian, Asian British or Asian Welsh",2,2 people in household,2
E06000014,York,2,Aged 3 to 4 years,1,"Asian, Asian British or Asian Welsh",3,3 people in household,34
E06000014,York,2,Aged 3 to 4 years,1,"Asian, Asian British or Asian Welsh",4,4 people in household,56
E06000014,York,2,Aged 3 to 4 years,1,"Asian, Asian British or Asian Welsh",5,5 people in household,19
E06000014,York,2,Aged 3 to 4 years,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,13
E06000014,York,2,Aged 3 to 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E06000014,York,2,Aged 3 to 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,0
E06000014,York,2,Aged 3 to 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,3
E06000014,York,2,Aged 3 to 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,4
E06000014,York,2,Aged 3 to 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,9
E06000014,York,2,Aged 3 to 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,6
E06000014,York,2,Aged 3 to 4 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,1
E06000014,York,2,Aged 3 to 4 years,3,Mixed or Multiple ethnic groups,0,0 people in household,0
E06000014,York,2,Aged 3 to 4 years,3,Mixed or Multiple ethnic groups,1,1 person in household,0
E06000014,York,2,Aged 3 to 4 years,3,Mixed or Multiple ethnic groups,2,2 people in household,9
E06000014,York,2,Aged 3 to 4 years,3,Mixed or Multiple ethnic groups,3,3 people in household,40
E06000014,York,2,Aged 3 to 4 years,3,Mixed or Multiple ethnic groups,4,4 people in household,72
E06000014,York,2,Aged 3 to 4 years,3,Mixed or Multiple ethnic groups,5,5 people in household,32
E06000014,York,2,Aged 3 to 4 years,3,Mixed or Multiple ethnic groups,6,6 or more people in household,8
E06000014,York,2,Aged 3 to 4 years,4,White,0,0 people in household,0
E06000014,York,2,Aged 3 to 4 years,4,White,1,1 person in household,0
E06000014,York,2,Aged 3 to 4 years,4,White,2,2 people in household,159
