Regions Code,Regions,Age (86 categories) Code,Age (86 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Household size (7 categories) Code,Household size (7 categories),Observation
E12000007,London,0,Aged under 1 year,-8,Does not apply,0,0 people in household,0
E12000007,London,0,Aged under 1 year,-8,Does not apply,1,1 person in household,0
E12000007,London,0,Aged under 1 year,-8,Does not apply,2,2 people in household,0
E12000007,London,0,Aged under 1 year,-8,Does not apply,3,3 people in household,0
E12000007,London,0,Aged under 1 year,-8,Does not apply,4,4 people in household,0
E12000007,London,0,Aged under 1 year,-8,Does not apply,5,5 people in household,0
E12000007,London,0,Aged under 1 year,-8,Does not apply,6,6 or more people in household,0
E12000007,London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",0,0 people in household,0
E12000007,London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",1,1 person in household,10
E12000007,London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",2,2 people in household,403
E12000007,London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",3,3 people in household,4920
E12000007,London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",4,4 people in household,6147
E12000007,London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",5,5 people in household,3660
E12000007,London,0,Aged under 1 year,1,"Asian, Asian British or Asian Welsh",6,6 or more people in household,6706
E12000007,London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",0,0 people in household,0
E12000007,London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",1,1 person in household,2
E12000007,London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",2,2 people in household,1285
E12000007,London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",3,3 people in household,3194
E12000007,London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",4,4 people in household,3037
E12000007,London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",5,5 people in household,2017
E12000007,London,0,Aged under 1 year,2,"Black, Black British, Black Welsh, Caribbean or African",6,6 or more people in household,2987
