"";"p_var";"c_var";"mean_mu"
"1";"0-4";"0-4";6,82616273720513e-07
"2";"0-4";"5-9";2,75464371135442e-07
"3";"0-4";"10-14";1,36440968322519e-07
"4";"0-4";"15-17";8,27916353606765e-08
"5";"0-4";"18-24";1,166143034545e-07
"6";"0-4";"25-29";2,03041013710253e-07
"7";"0-4";"30-39";2,051518327103e-07
"8";"0-4";"40-49";9,21502724528635e-08
"9";"0-4";"50-59";6,97598602779079e-08
"10";"0-4";"60-69";9,05222601321984e-08
"11";"0-4";"70+";2,9205066861143e-08
"12";"5-9";"0-4";2,75464371135442e-07
"13";"5-9";"5-9";1,41788068212738e-06
"14";"5-9";"10-14";2,95141594512035e-07
"15";"5-9";"15-17";1,05986062904095e-07
"16";"5-9";"18-24";1,39210735415459e-07
"17";"5-9";"25-29";1,67855619719637e-07
"18";"5-9";"30-39";2,05195103362771e-07
"19";"5-9";"40-49";1,46043873602017e-07
"20";"5-9";"50-59";5,62277169032836e-08
"21";"5-9";"60-69";9,56718817177996e-08
"22";"5-9";"70+";2,58449978693586e-08
"23";"10-14";"0-4";1,36440968322519e-07
"24";"10-14";"5-9";2,95141594512035e-07
"25";"10-14";"10-14";1,6293079418796e-06
"26";"10-14";"15-17";3,35396255611916e-07
"27";"10-14";"18-24";9,6950072782419e-08
"28";"10-14";"25-29";8,82013549978196e-08
"29";"10-14";"30-39";1,50318592879983e-07
"30";"10-14";"40-49";1,94585172713967e-07
"31";"10-14";"50-59";7,61287200827429e-08
"32";"10-14";"60-69";6,87028113200242e-08
"33";"10-14";"70+";3,3579460573935e-08
"34";"15-17";"0-4";8,27916353606765e-08
"35";"15-17";"5-9";1,05986062904095e-07
"36";"15-17";"10-14";3,35396255611916e-07
"37";"15-17";"15-17";1,80327118414067e-06
"38";"15-17";"18-24";3,12637056689172e-07
"39";"15-17";"25-29";1,05146062683426e-07
"40";"15-17";"30-39";1,08184593401203e-07
"41";"15-17";"40-49";2,03452146868261e-07
"42";"15-17";"50-59";1,01062376394556e-07
"43";"15-17";"60-69";8,66218463313781e-08
"44";"15-17";"70+";3,94598961199671e-08
"45";"18-24";"0-4";1,166143034545e-07
