"";"p_var";"c_var";"mean_mu"
"1";"White";"White";5,77961311729426e-08
"2";"White";"Asian";2,46326144143071e-08
"3";"White";"Black";4,36171763494335e-08
"4";"White";"Mixed";4,92729698631122e-08
"5";"White";"Other";1,92833468821622e-08
"6";"Asian";"White";2,46326144143071e-08
"7";"Asian";"Asian";2,69722159287375e-07
"8";"Asian";"Black";6,55278643310202e-08
"9";"Asian";"Mixed";8,45187163580298e-08
"10";"Asian";"Other";5,18150224908492e-08
"11";"Black";"White";4,36171763494335e-08
"12";"Black";"Asian";6,55278643310202e-08
"13";"Black";"Black";8,08387809141726e-07
"14";"Black";"Mixed";1,82519087374749e-07
"15";"Black";"Other";2,43787587477707e-08
"16";"Mixed";"White";4,92729698631122e-08
"17";"Mixed";"Asian";8,45187163580298e-08
"18";"Mixed";"Black";1,82519087374749e-07
"19";"Mixed";"Mixed";5,52920688971209e-07
"20";"Mixed";"Other";1,23954924135609e-07
"21";"Other";"White";1,92833468821622e-08
"22";"Other";"Asian";5,18150224908492e-08
"23";"Other";"Black";2,43787587477707e-08
"24";"Other";"Mixed";1,23954924135609e-07
"25";"Other";"Other";6,88052422246175e-07
